,count,mean,std,min,25%,50%,max,FechaMax,FechaMin,Nombre,Codigo,ceros,75mayor,75%,99mayor,99%,Ceros %,
112,24744,0.089957161,0.705470634,0,0,0,43.9,2021-06-30-23,2018-01-04-00,GUZMANGO,X472C81BC,22663,2081,0,243,2,0.915898804,
113,28536,0.056514578,0.661906728,0,0,0,41.6,2021-06-30-23,2018-01-02-00,HACIENDA BARRIOS,X47E074C0,27214,1322,0,275,1.3,0.953672554,
114,0,,,,,,,,,HUACHOS GORE,X47292684,0,0,,0,,#DIV/0!,
115,10416,0.113392857,0.671063078,0,0,0,24.4,2019-04-06-23,2018-01-02-00,HUAC-HUAS GORE,X47290068,9521,895,0,100,2.8,0.914074501,
116,23880,0.105234506,0.556971046,0,0,0,14.8,2021-04-30-23,2018-01-02-00,HUACULLO,X472B16EA,21151,2729,0,216,2.4,0.885720268,
117,27672,0.104000434,0.673856178,0,0,0,26.3,2021-06-30-23,2018-01-02-00,HUALCUY,X47E281B0,24572,3100,0,260,2.7,0.887973403,
118,28296,0.058107153,0.448271315,0,0,0,21.2,2021-06-30-23,2018-01-02-00,HUALLAPE,X472A571A,26598,1698,0,263,1.7,0.939991518,
119,10248,0.007318501,0.106053302,0,0,0,4.2,2019-04-06-23,2018-01-02-00,HUALLPOCA GORE,X47283708,10146,102,0,102,0,0.990046838,
120,20424,0.002776146,0.073673815,0,0,0,6.9,2021-06-30-23,2018-05-04-00,HUAMANI EL TAMBO GORE,X213503,20332,92,0,92,0,0.995495495,
121,15672,0.078203165,0.538789202,0,0,0,21,2019-12-12-23,2018-01-02-00,HUAMBOS,X47E94706,14225,1447,0,154,2.1,0.907669729,
122,28008,0.021011854,0.210030247,0,0,0,10,2021-06-30-23,2018-01-02-00,HUANCA,X47E3A5A6,27051,957,0,278,0.5,0.965831191,
123,26064,0.052524555,0.383707536,0,0,0,16.5,2021-06-30-23,2018-01-02-00,HUANCABAMBA,X472FE354,23852,2212,0,254,1.4,0.915131983,
124,11064,0.074177513,0.436468339,0,0,0,13.5,2019-12-06-23,2018-01-01-00,HUANCASAYA,X210003,10017,1047,0,110,2,0.905368764,
125,27240,0.085051395,0.442664509,0,0,0,13.5,2021-06-30-23,2018-01-02-00,HUANCAVELICA,X472722EC,24243,2997,0,259,2,0.889977974,
126,21720,0.103278085,0.745766528,0,0,0,31.6,2020-09-30-23,2018-01-01-00,HUARMACA,X472761E6,18786,2934,0,213,2.1,0.864917127,
